trader_id,name,countryName,countryIsoCode,zuluAccountId,trader_rate,ratecount,brokerAccountId,strategyDescApproved,publicTradeHistory,addressVerified,phoneVerified,identificationVerified,hasLiveAccount,photoApproved,active,loggedInRecently,videoApproved,profitSharingTraderOnly,leverage,lastOpenTradeDate,lastUpdatedDate,zuluRank,amountFollowing,ROI,totalProfit,totalProfitMoney,Weeks,maximumDrawdown,maximumDrawdown_percent,followers,viewed,trades,maxOpenTrades,winTradesCount,winTradesCountInMoney,avgTradeSeconds,avgPipsPerTrade,profitPercentage,Nme,uninterruptedLiveFollowerProfit,interruptedLiveFollowerProfit,performance
373149,DayTrader2020,United Arab Emirates,AE,1870532,0,0,1853934,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,20,1.63E+12,1.65E+12,10977,690,0,0,0,199,0,0,2,20970,0,0,0,0,0,0,0,0,0,0,"[{'type': 'TOTAL_PROFIT', 'data': [{'x': 1648944000000, 'y': 0.0}, {'x': 1649030400000, 'y': 0.0}, {'x': 1649116800000, 'y': 0.0}, {'x': 1649203200000, 'y': 0.0}, {'x': 1649289600000, 'y': 0.0}, {'x': 1649376000000, 'y': 0.0}, {'x': 1649548800000, 'y': 0.0}, {'x': 1649635200000, 'y': 0.0}, {'x': 1649721600000, 'y': 0.0}, {'x': 1649808000000, 'y': 0.0}, {'x': 1649894400000, 'y': 0.0}, {'x': 1649980800000, 'y': 0.0}, {'x': 1650153600000, 'y': 0.0}, {'x': 1650240000000, 'y': 0.0}, {'x': 1650326400000, 'y': 0.0}, {'x': 1650412800000, 'y': 0.0}, {'x': 1650499200000, 'y': 0.0}, {'x': 1650585600000, 'y': 0.0}, {'x': 1650758400000, 'y': 0.0}]}]"
373866,chunyffs333,China,CN,1883754,3.531972789,245,1862282,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,100,1.65E+12,1.65E+12,11312,404363.18,-9.089874311,-970.5,-1001.22,196,1465.1,11.3,759,312114,6,4,0,0,736335.67,-161.8,-2.072954715,23822,-17830.15,-6669.35,"[{'type': 'TOTAL_PROFIT_MONEY', 'data': [{'x': 1648944000000, 'y': 0.0}, {'x': 1649030400000, 'y': -106.10000000000036}, {'x': 1649116800000, 'y': -277.90000000000055}, {'x': 1649203200000, 'y': -287.2000000000003}, {'x': 1649289600000, 'y': -420.8000000000002}, {'x': 1649376000000, 'y': -374.40000000000055}, {'x': 1649548800000, 'y': -340.8000000000002}, {'x': 1649635200000, 'y': -370.8000000000002}, {'x': 1649721600000, 'y': -575.2000000000003}, {'x': 1649808000000, 'y': -297.60000000000036}, {'x': 1649894400000, 'y': -373.1300000000001}, {'x': 1649980800000, 'y': -373.13000000000056}, {'x': 1650153600000, 'y': -373.13000000000056}, {'x': 1650240000000, 'y': -373.13000000000056}, {'x': 1650326400000, 'y': -373.13000000000056}, {'x': 1650412800000, 'y': -373.13000000000056}, {'x': 1650499200000, 'y': -373.13000000000056}, {'x': 1650585600000, 'y': -396.3300000000004}, {'x': 1650672000000, 'y': -373.13000000000056}, {'x': 1650758400000, 'y': -369.93000000000075}, {'x': 1650844800000, 'y': -592.7300000000005}, {'x': 1650931200000, 'y': -843.3300000000004}, {'x': 1651017600000, 'y': -1259.3100000000004}, {'x': 1651104000000, 'y': -1478.1200000000003}, {'x': 1651190400000, 'y': -980.8200000000006}, {'x': 1651276800000, 'y': -1450.82}]}]"
390554,Mbalans00,Ukraine,UA,2070211,0,0,1983928,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,500,1.65E+12,1.65E+12,11232,0,2.42,685.3,2065.11,177,3681.2,15.5,0,7675,538,18,383,382,19910.75,1.3,-0.147407239,60093,0,0,"[{'type': 'TOTAL_PROFIT', 'data': [{'x': 1648944000000, 'y': 0.0}, {'x': 1649030400000, 'y': -129.5}, {'x': 1649116800000, 'y': -11.19999999999709}, {'x': 1649203200000, 'y': 60.10000000000582}, {'x': 1649289600000, 'y': -34.19999999999709}, {'x': 1649376000000, 'y': -123.69999999999709}, {'x': 1649548800000, 'y': -134.6999999999971}, {'x': 1649635200000, 'y': 81.60000000000582}, {'x': 1649721600000, 'y': 16.099999999998545}, {'x': 1649808000000, 'y': 60.599999999998545}, {'x': 1649894400000, 'y': -351.90000000000146}, {'x': 1649980800000, 'y': 238.10000000000582}, {'x': 1650153600000, 'y': 359.09999999999854}, {'x': 1650240000000, 'y': 224.90000000000873}, {'x': 1650326400000, 'y': 165.8000000000029}, {'x': 1650412800000, 'y': 460.90000000000146}, {'x': 1650499200000, 'y': 468.5}, {'x': 1650585600000, 'y': 66.00000000000728}, {'x': 1650672000000, 'y': 506.70000000000437}, {'x': 1650758400000, 'y': 459.3000000000029}, {'x': 1650844800000, 'y': 156.3000000000029}, {'x': 1650931200000, 'y': -289.79999999999563}, {'x': 1651017600000, 'y': -2395.0999999999985}, {'x': 1651104000000, 'y': -3174.5}, {'x': 1651190400000, 'y': 641.3000000000029}, {'x': 1651276800000, 'y': -2108.1}]}]"
399643,Avangard II,Cyprus,CY,2140936,0,0,2030274,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,200,1.64E+12,1.65E+12,7580,241.81,0,0,0,211,9676.5,0,12,19257,0,0,0,0,0,0,0,96765,0,0,"[{'type': 'TOTAL_PROFIT_MONEY', 'data': [{'x': 1648944000000, 'y': 0.0}, {'x': 1649030400000, 'y': -37.330000000001746}, {'x': 1649116800000, 'y': -109.4200000000128}, {'x': 1649203200000, 'y': -116.29000000000815}, {'x': 1649289600000, 'y': -148.7600000000093}, {'x': 1649376000000, 'y': -187.8700000000099}, {'x': 1649548800000, 'y': -156.1700000000128}, {'x': 1649635200000, 'y': -214.5}, {'x': 1649721600000, 'y': -232.35000000000582}, {'x': 1649808000000, 'y': -201.4100000000035}, {'x': 1649894400000, 'y': -272.15000000000873}, {'x': 1649980800000, 'y': -298.8000000000029}, {'x': 1650153600000, 'y': -297.5}, {'x': 1650240000000, 'y': -335.9800000000105}, {'x': 1650326400000, 'y': -436.3899999999994}, {'x': 1650412800000, 'y': -350.4600000000064}, {'x': 1650499200000, 'y': -377.1000000000058}, {'x': 1650585600000, 'y': -395.59000000001106}, {'x': 1650672000000, 'y': 635.7899999999936}, {'x': 1650758400000, 'y': -395.320000000007}, {'x': 1650844800000, 'y': -394.15000000000873}, {'x': 1650931200000, 'y': -397.43000000000757}, {'x': 1651017600000, 'y': -490.2700000000041}, {'x': 1651104000000, 'y': -621.0400000000081}, {'x': 1651190400000, 'y': 635.7899999999936}, {'x': 1651276800000, 'y': -1221.32}]}]"
405136,Rusalgorithm,Russia,RU,2188524,5,1,2058657,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,300,1.65E+12,1.65E+12,7626,977.28,-29.53,-259.3,-528.08,107,366.4,31.9,27,31440,9,1,7,7,125426.11,-28.8,-0.319733838,6164,1.71,-17.19,"[{'type': 'TOTAL_PROFIT_MONEY', 'data': [{'x': 1648944000000, 'y': 0.0}, {'x': 1649030400000, 'y': -130.20000000000005}, {'x': 1649116800000, 'y': -267.20000000000005}, {'x': 1649203200000, 'y': -284.20000000000005}, {'x': 1649289600000, 'y': -350.4000000000001}, {'x': 1649376000000, 'y': -407.6100000000001}, {'x': 1649548800000, 'y': -407.6099999999999}, {'x': 1649635200000, 'y': -407.6099999999999}, {'x': 1649721600000, 'y': -378.55999999999995}, {'x': 1649808000000, 'y': -349.8299999999999}, {'x': 1649894400000, 'y': -320.78}, {'x': 1649980800000, 'y': -320.78}, {'x': 1650153600000, 'y': -320.78}, {'x': 1650240000000, 'y': -320.78}, {'x': 1650326400000, 'y': -341.4200000000001}, {'x': 1650412800000, 'y': -428.94000000000005}, {'x': 1650499200000, 'y': -406.22}, {'x': 1650585600000, 'y': -352.6199999999999}, {'x': 1650672000000, 'y': -320.78}, {'x': 1650758400000, 'y': -366.53999999999996}, {'x': 1650844800000, 'y': -277.8499999999999}, {'x': 1650931200000, 'y': -383.0799999999999}, {'x': 1651017600000, 'y': -533.6999999999999}, {'x': 1651104000000, 'y': -622.52}, {'x': 1651190400000, 'y': -528.08}]}]"
407336,azwhye83,Malaysia,MY,2209816,0,0,2070586,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,500,1.65E+12,1.65E+12,11077,0,36.43,-1546.5,852.05,87,2893.8,15.3,0,3058,1338,21,912,912,9893.74,-1.2,0.02390115,62641,0,0,"[{'type': 'TOTAL_PROFIT_MONEY', 'data': [{'x': 1648944000000, 'y': 0.0}, {'x': 1649030400000, 'y': -185.6900000000005}, {'x': 1649116800000, 'y': 67.26999999999953}, {'x': 1649203200000, 'y': 154.23999999999978}, {'x': 1649289600000, 'y': 106.72999999999956}, {'x': 1649376000000, 'y': 255.60000000000036}, {'x': 1649548800000, 'y': 259.6199999999999}, {'x': 1649635200000, 'y': 289.9800000000005}, {'x': 1649721600000, 'y': 271.97000000000025}, {'x': 1649808000000, 'y': 300.34999999999945}, {'x': 1649894400000, 'y': 351.6800000000003}, {'x': 1649980800000, 'y': 360.59000000000015}, {'x': 1650153600000, 'y': 359.1899999999996}, {'x': 1650240000000, 'y': 383.8599999999997}, {'x': 1650326400000, 'y': 425.22999999999956}, {'x': 1650412800000, 'y': 476.0}, {'x': 1650499200000, 'y': 567.5900000000001}, {'x': 1650585600000, 'y': 616.2399999999998}, {'x': 1650672000000, 'y': 616.4399999999996}, {'x': 1650758400000, 'y': 613.5299999999997}, {'x': 1650844800000, 'y': 624.9399999999996}, {'x': 1650931200000, 'y': 391.1299999999992}, {'x': 1651017600000, 'y': 603.7099999999991}, {'x': 1651104000000, 'y': 689.1700000000001}, {'x': 1651190400000, 'y': 771.3599999999997}, {'x': 1651276800000, 'y': 850.18}]}]"
413123,MILLIONARY,Brazil,BR,2293812,1,1,2117586,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,100,1.65E+12,1.65E+12,7504,0,0,0,0,131,0,0,0,11358,0,0,0,0,0,0,0,0,0,0,"[{'type': 'TOTAL_PROFIT_MONEY', 'data': [{'x': 1648944000000, 'y': 0.0}, {'x': 1649030400000, 'y': 0.0}, {'x': 1649116800000, 'y': 0.0}, {'x': 1649203200000, 'y': 0.0}, {'x': 1649289600000, 'y': 0.0}, {'x': 1649376000000, 'y': 0.0}, {'x': 1649548800000, 'y': 0.0}, {'x': 1649635200000, 'y': 0.0}, {'x': 1649721600000, 'y': 0.0}, {'x': 1649808000000, 'y': 0.0}, {'x': 1649894400000, 'y': 0.0}, {'x': 1649980800000, 'y': 0.0}, {'x': 1650153600000, 'y': 0.0}, {'x': 1650240000000, 'y': 0.0}, {'x': 1650326400000, 'y': 0.0}, {'x': 1650412800000, 'y': 0.0}, {'x': 1650499200000, 'y': 0.0}]}]"
416684,Financial Fortress,Russia,RU,2347161,0,0,2148605,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,100,1.65E+12,1.65E+12,583,0,8.96034884,128,134.39,26,357.7,20.4,1,691,21,3,12,12,116219.86,6.1,0.058076317,6939,0,0,"[{'type': 'TOTAL_PROFIT_MONEY', 'data': [{'x': 1648944000000, 'y': 0.0}, {'x': 1649030400000, 'y': 62.5}, {'x': 1649116800000, 'y': 163.49}, {'x': 1649203200000, 'y': 221.77999999999997}, {'x': 1649289600000, 'y': 245.06999999999994}, {'x': 1649376000000, 'y': 168.5200000000001}, {'x': 1649548800000, 'y': 168.51999999999998}, {'x': 1649635200000, 'y': 168.51999999999998}, {'x': 1649721600000, 'y': 162.12}, {'x': 1649808000000, 'y': 230.77999999999997}, {'x': 1649894400000, 'y': 230.77999999999997}, {'x': 1649980800000, 'y': 230.77999999999997}, {'x': 1650153600000, 'y': 230.77999999999997}, {'x': 1650240000000, 'y': 230.77999999999997}, {'x': 1650326400000, 'y': 138.52999999999997}, {'x': 1650412800000, 'y': 11.350000000000023}, {'x': 1650499200000, 'y': -35.789999999999964}, {'x': 1650585600000, 'y': -48.860000000000014}, {'x': 1650672000000, 'y': -35.789999999999964}, {'x': 1650758400000, 'y': -50.49000000000001}, {'x': 1650844800000, 'y': 14.139999999999986}, {'x': 1650931200000, 'y': 54.73000000000002}, {'x': 1651017600000, 'y': 29.65000000000009}, {'x': 1651104000000, 'y': 13.199999999999932}, {'x': 1651190400000, 'y': 134.39}]}]"
417735,Afulcrum21,Indonesia,ID,2360959,0,0,2156704,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,500,1.65E+12,1.65E+12,1362,6409.29,0.142778693,4.1,0.26,34,728.4,30.6,86,9069,1,1,1,1,2112,4.1,-4.507,8284,1.57,-189.09,"[{'type': 'TOTAL_PROFIT_MONEY', 'data': [{'x': 1648944000000, 'y': 0.0}, {'x': 1649030400000, 'y': 0.0}, {'x': 1649116800000, 'y': 0.0}, {'x': 1649203200000, 'y': 0.0}, {'x': 1649289600000, 'y': 0.0}, {'x': 1649376000000, 'y': -5.349999999999994}, {'x': 1649548800000, 'y': -3.269999999999996}, {'x': 1649635200000, 'y': -11.879999999999995}, {'x': 1649721600000, 'y': -11.449999999999989}, {'x': 1649808000000, 'y': -10.97999999999999}, {'x': 1649894400000, 'y': -17.289999999999992}, {'x': 1649980800000, 'y': -21.069999999999993}, {'x': 1650153600000, 'y': -20.879999999999995}, {'x': 1650240000000, 'y': -24.779999999999994}, {'x': 1650326400000, 'y': -41.37}, {'x': 1650412800000, 'y': -31.33}, {'x': 1650499200000, 'y': -34.63999999999999}, {'x': 1650585600000, 'y': -35.58}, {'x': 1650672000000, 'y': 0.2600000000000051}, {'x': 1650758400000, 'y': -35.89999999999999}, {'x': 1650844800000, 'y': -29.629999999999995}, {'x': 1650931200000, 'y': -25.769999999999996}, {'x': 1651017600000, 'y': -34.669999999999995}, {'x': 1651104000000, 'y': -51.949999999999996}, {'x': 1651190400000, 'y': 0.2600000000000051}, {'x': 1651276800000, 'y': -48.18}]}]"
339990,yumman0003,Russia,RU,1618037,3.4,15,1628178,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,100,1.65E+12,1.65E+12,415,2191.72,-20.03878358,-847.9,-901.36,290,70718.5,34.8,24,96793,6,50,5,5,4116806.33,-141.3,-79.45478844,765999,0,-573.69,"[{'type': 'TOTAL_PROFIT', 'data': [{'x': 1648944000000, 'y': 0.0}, {'x': 1649030400000, 'y': 309.0999999999767}, {'x': 1649116800000, 'y': -1027.2000000000116}, {'x': 1649203200000, 'y': -2059.2000000000116}, {'x': 1649289600000, 'y': -1749.2000000000116}, {'x': 1649376000000, 'y': -5219.200000000012}, {'x': 1649548800000, 'y': -3129.2000000000116}, {'x': 1649635200000, 'y': -4869.200000000012}, {'x': 1649721600000, 'y': -4614.200000000012}, {'x': 1649808000000, 'y': -5714.200000000012}, {'x': 1649894400000, 'y': -2664.2000000000116}, {'x': 1649980800000, 'y': -2234.2000000000116}, {'x': 1650153600000, 'y': -2089.2000000000116}, {'x': 1650240000000, 'y': -4264.200000000012}, {'x': 1650326400000, 'y': -5314.200000000012}, {'x': 1650412800000, 'y': -4524.200000000012}, {'x': 1650499200000, 'y': -3214.2000000000116}, {'x': 1650585600000, 'y': -13194.200000000012}, {'x': 1650672000000, 'y': 36974.29999999999}, {'x': 1650758400000, 'y': -13014.200000000012}, {'x': 1650844800000, 'y': -19454.20000000001}, {'x': 1650931200000, 'y': -26329.20000000001}, {'x': 1651017600000, 'y': -29214.20000000001}, {'x': 1651104000000, 'y': -33744.200000000026}, {'x': 1651190400000, 'y': 36974.29999999999}, {'x': 1651276800000, 'y': -64671.4}]}]"
304366,Signal Guide,Colombia,CO,1462870,3.219373219,117,1478656,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,100,1.65E+12,1.65E+12,11317,125410.56,-48.73,-1413.1,-131.29,343,3585.7,103.8,380,301598,120,21,110,110,177669.54,-11.8,-0.11425901,74169,-3684.53,-24644.03,"[{'type': 'TOTAL_PROFIT_MONEY', 'data': [{'x': 1648944000000, 'y': 0.0}, {'x': 1649030400000, 'y': -8.64000000001397}, {'x': 1649116800000, 'y': -39.70000000001164}, {'x': 1649203200000, 'y': -28.529999999969732}, {'x': 1649289600000, 'y': -44.70000000001164}, {'x': 1649376000000, 'y': -64.77999999996973}, {'x': 1649548800000, 'y': -45.64000000001397}, {'x': 1649635200000, 'y': -98.05999999993946}, {'x': 1649721600000, 'y': -104.86999999999534}, {'x': 1649808000000, 'y': -68.3300000000163}, {'x': 1649894400000, 'y': -73.59999999997672}, {'x': 1649980800000, 'y': -92.39999999996508}, {'x': 1650153600000, 'y': -93.88999999995576}, {'x': 1650240000000, 'y': -113.28999999997905}, {'x': 1650326400000, 'y': -144.95999999996275}, {'x': 1650412800000, 'y': -94.01999999996042}, {'x': 1650499200000, 'y': -85.5899999999674}, {'x': 1650585600000, 'y': -93.51999999996042}, {'x': 1650672000000, 'y': 88.4100000000326}, {'x': 1650758400000, 'y': -92.59999999997672}, {'x': 1650844800000, 'y': -102.45999999996275}, {'x': 1650931200000, 'y': -106.38999999995576}, {'x': 1651017600000, 'y': -147.69999999995343}, {'x': 1651104000000, 'y': -161.78999999997905}, {'x': 1651190400000, 'y': -80.96000000002095}, {'x': 1651276800000, 'y': -159.37}]}]"
